doc_id,fandom,bullet_type,idx_in_fandom_array,n_tokens
619,악동뮤지션,loyalty,13,24
620,악동뮤지션,loyalty,14,30
621,악동뮤지션,loyalty,15,12
622,악동뮤지션,loyalty,16,6
623,악동뮤지션,loyalty,17,8
624,악동뮤지션,loyalty,18,14
625,악동뮤지션,loyalty,19,36
626,악동뮤지션,loyalty,20,31
627,악동뮤지션,loyalty,21,27
628,악동뮤지션,loyalty,22,30
629,악동뮤지션,spillover,0,15
630,악동뮤지션,spillover,1,23
631,악동뮤지션,spillover,2,15
632,악동뮤지션,spillover,3,23
633,악동뮤지션,spillover,4,29
634,악동뮤지션,spillover,5,16
635,악동뮤지션,spillover,6,16
636,악동뮤지션,spillover,7,15
637,악동뮤지션,spillover,8,11
638,악동뮤지션,spillover,9,12
639,악동뮤지션,spillover,10,20
640,악동뮤지션,spillover,11,28
641,악동뮤지션,spillover,12,24
642,악동뮤지션,spillover,13,19
643,악동뮤지션,spillover,14,13
644,악동뮤지션,spillover,15,24
645,악동뮤지션,spillover,16,20
646,악동뮤지션,spillover,17,19
647,악동뮤지션,spillover,18,25
648,악동뮤지션,spillover,19,24
649,악동뮤지션,spillover,20,11
650,악동뮤지션,spillover,21,15
651,악동뮤지션,spillover,22,25
652,악동뮤지션,spillover,23,9
653,악동뮤지션,spillover,24,12
654,악동뮤지션,spillover,25,9
655,악동뮤지션,spillover,26,12
656,악동뮤지션,spillover,27,11
657,악동뮤지션,spillover,28,12
658,악동뮤지션,spillover,29,15
659,악동뮤지션,spillover,30,17
660,악동뮤지션,spillover,31,16
661,악동뮤지션,spillover,32,16
662,악동뮤지션,spillover,33,34
663,악동뮤지션,spillover,34,24
664,악동뮤지션,spillover,35,13
665,악동뮤지션,spillover,36,12
666,악동뮤지션,spillover,37,26
667,악동뮤지션,spillover,38,20
668,악동뮤지션,spillover,39,10
669,악동뮤지션,spillover,40,23
670,악동뮤지션,spillover,41,11
671,악동뮤지션,spillover,42,18
672,악동뮤지션,spillover,43,23
673,악동뮤지션,spillover,44,15
674,악동뮤지션,spillover,45,16
675,악동뮤지션,spillover,46,13
676,악동뮤지션,spillover,47,22
677,악동뮤지션,spillover,48,33
678,악동뮤지션,spillover,49,41
679,악동뮤지션,spillover,50,21
680,임영웅,loyalty,0,15
681,임영웅,loyalty,1,27
682,임영웅,loyalty,2,27
683,임영웅,loyalty,3,8
684,임영웅,loyalty,4,27
685,임영웅,loyalty,5,19
686,임영웅,loyalty,6,21
687,임영웅,loyalty,7,25
688,임영웅,loyalty,8,21
689,임영웅,loyalty,9,10
690,임영웅,loyalty,10,6
691,임영웅,loyalty,11,12
692,임영웅,loyalty,12,7
693,임영웅,loyalty,13,8
694,임영웅,loyalty,14,13
695,임영웅,loyalty,15,11
696,임영웅,loyalty,16,9
697,임영웅,loyalty,17,8
698,임영웅,loyalty,18,11
699,임영웅,loyalty,19,21
700,임영웅,loyalty,20,14
701,임영웅,loyalty,21,31
702,임영웅,loyalty,22,10
703,임영웅,loyalty,23,15
704,임영웅,loyalty,24,17
705,임영웅,loyalty,25,11
706,임영웅,loyalty,26,26
707,임영웅,loyalty,27,8
708,임영웅,loyalty,28,13
709,임영웅,loyalty,29,9
710,임영웅,loyalty,30,9
711,임영웅,loyalty,31,37
712,임영웅,loyalty,32,25
713,임영웅,loyalty,33,34
714,임영웅,loyalty,34,14
715,임영웅,loyalty,35,13
716,임영웅,loyalty,36,11
717,임영웅,loyalty,37,9
718,임영웅,loyalty,38,11
719,임영웅,loyalty,39,18
720,임영웅,loyalty,40,15
721,임영웅,loyalty,41,38
722,임영웅,loyalty,42,31
723,임영웅,loyalty,43,8
724,임영웅,loyalty,44,5
725,임영웅,loyalty,45,5
726,임영웅,loyalty,46,6
727,임영웅,loyalty,47,20
728,임영웅,loyalty,48,10
729,임영웅,loyalty,49,23
730,임영웅,loyalty,50,10
731,임영웅,loyalty,51,21
732,임영웅,loyalty,52,12
733,임영웅,loyalty,53,13
734,임영웅,loyalty,54,11
735,임영웅,loyalty,55,23
736,임영웅,loyalty,56,27
737,임영웅,loyalty,57,25
738,임영웅,loyalty,58,38
739,임영웅,spillover,0,26
740,임영웅,spillover,1,34
741,임영웅,spillover,2,12
742,임영웅,spillover,3,16
743,임영웅,spillover,4,19
744,임영웅,spillover,5,35
745,임영웅,spillover,6,28
746,임영웅,spillover,7,32
747,임영웅,spillover,8,24
748,임영웅,spillover,9,6
749,임영웅,spillover,10,15
750,임영웅,spillover,11,11
751,임영웅,spillover,12,12
752,임영웅,spillover,13,9
753,임영웅,spillover,14,15
754,임영웅,spillover,15,6
755,임영웅,spillover,16,9
756,임영웅,spillover,17,6
757,임영웅,spillover,18,26
758,임영웅,spillover,19,13
759,임영웅,spillover,20,19
760,임영웅,spillover,21,15
761,임영웅,spillover,22,7
762,임영웅,spillover,23,19
763,임영웅,spillover,24,28
764,임영웅,spillover,25,42
765,임영웅,spillover,26,29
766,임영웅,spillover,27,20
767,임영웅,spillover,28,33
768,임영웅,spillover,29,39
769,임영웅,spillover,30,8
770,임영웅,spillover,31,18
771,임영웅,spillover,32,11
772,임영웅,spillover,33,8
773,임영웅,spillover,34,13
774,임영웅,spillover,35,10
775,임영웅,spillover,36,13
776,임영웅,spillover,37,23
777,임영웅,spillover,38,30
778,임영웅,spillover,39,11
779,임영웅,spillover,40,15
780,임영웅,spillover,41,11
781,임영웅,spillover,42,13
782,임영웅,spillover,43,11
783,임영웅,spillover,44,15
784,임영웅,spillover,45,17
785,임영웅,spillover,46,11
786,임영웅,spillover,47,32
787,임영웅,spillover,48,31
788,임영웅,spillover,49,14
789,임영웅,spillover,50,28
790,임영웅,spillover,51,34
791,임영웅,spillover,52,27
792,임영웅,spillover,53,18
793,임영웅,spillover,54,24
794,임영웅,spillover,55,32
795,임영웅,spillover,56,31
796,임영웅,spillover,57,14
797,임영웅,spillover,58,12
798,임영웅,spillover,59,11
799,임영웅,spillover,60,22
800,임영웅,spillover,61,21
801,임영웅,spillover,62,20
802,임영웅,spillover,63,18
803,임영웅,spillover,64,14
804,임영웅,spillover,65,20
805,임영웅,spillover,66,12
806,임영웅,spillover,67,22
807,임영웅,spillover,68,16
808,임영웅,spillover,69,30
809,임영웅,spillover,70,13
